A,B,layer_A,layer_B
gene_A,gene_A,gene,gene
gene_B,gene_A,gene,gene
gene_C,gene_A,gene,gene
gene_D,gene_A,gene,gene
gene_E,gene_A,gene,gene
gene_A,gene_B,gene,gene
gene_B,gene_B,gene,gene
gene_C,gene_B,gene,gene
gene_D,gene_B,gene,gene
gene_E,gene_B,gene,gene
gene_A,gene_C,gene,gene
gene_B,gene_C,gene,gene
gene_C,gene_C,gene,gene
gene_D,gene_C,gene,gene
gene_E,gene_C,gene,gene
gene_A,gene_D,gene,gene
gene_B,gene_D,gene,gene
gene_C,gene_D,gene,gene
gene_D,gene_D,gene,gene
gene_E,gene_D,gene,gene
gene_A,gene_E,gene,gene
gene_B,gene_E,gene,gene
gene_C,gene_E,gene,gene
gene_D,gene_E,gene,gene
gene_E,gene_E,gene,gene
